Date : 2026-02-13 08:51:15
Directory : /home/babs/PycharmProjects/MusicLibrary
Total : 174 files,  34792 codes, 5645 comments, 8159 blanks, all 48596 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/babs/PycharmProjects/MusicLibrary/place_detail.py                       | Python           |        144 |         13 |         23 |        180 |
| /home/babs/PycharmProjects/MusicLibrary/place_edit.py                         | Python           |        178 |         19 |         29 |        226 |
| /home/babs/PycharmProjects/MusicLibrary/place_html.py                         | Python           |         43 |          5 |         12 |         60 |
| /home/babs/PycharmProjects/MusicLibrary/place_list.py                         | Python           |        224 |         29 |         52 |        305 |
| /home/babs/PycharmProjects/MusicLibrary/place_map.py                          | Python           |        371 |         38 |         56 |        465 |
| /home/babs/PycharmProjects/MusicLibrary/place_map_filter.py                   | Python           |         79 |         16 |         25 |        120 |
| /home/babs/PycharmProjects/MusicLibrary/place_map_template.html               | HTML             |        145 |          1 |         23 |        169 |
| /home/babs/PycharmProjects/MusicLibrary/place_search_dialog.py                | Python           |         51 |          7 |         12 |         70 |
| /home/babs/PycharmProjects/MusicLibrary/place_view.py                         | Python           |         52 |          7 |         17 |         76 |
| /home/babs/PycharmProjects/MusicLibrary/player_dock.py                        | Python           |        528 |         89 |        120 |        737 |
| /home/babs/PycharmProjects/MusicLibrary/player_mini.py                        | Python           |        419 |         89 |        112 |        620 |
| /home/babs/PycharmProjects/MusicLibrary/player_mini_manage.py                 | Python           |         31 |         10 |         14 |         55 |
| /home/babs/PycharmProjects/MusicLibrary/player_settings.py                    | Python           |        218 |         49 |         70 |        337 |
| /home/babs/PycharmProjects/MusicLibrary/player_util.py                        | Python           |        710 |        132 |        182 |      1,024 |
| /home/babs/PycharmProjects/MusicLibrary/playlist_edit.py                      | Python           |         78 |         15 |         19 |        112 |
| /home/babs/PycharmProjects/MusicLibrary/playlist_export.py                    | Python           |         84 |         15 |         18 |        117 |
| /home/babs/PycharmProjects/MusicLibrary/playlist_new.py                       | Python           |         24 |          2 |          8 |         34 |
| /home/babs/PycharmProjects/MusicLibrary/playlist_smart_builder.py             | Python           |        131 |         77 |         41 |        249 |
| /home/babs/PycharmProjects/MusicLibrary/playlist_smart_criteria_widget.py     | Python           |        261 |         39 |         51 |        351 |
| /home/babs/PycharmProjects/MusicLibrary/playlist_smart_new.py                 | Python           |         63 |         16 |         25 |        104 |
| /home/babs/PycharmProjects/MusicLibrary/playlist_tracks_window.py             | Python           |        196 |         33 |         54 |        283 |
| /home/babs/PycharmProjects/MusicLibrary/playlist_view.py                      | Python           |        290 |         48 |         73 |        411 |
| /home/babs/PycharmProjects/MusicLibrary/publisher_association_dialog.py       | Python           |         67 |          7 |         17 |         91 |
| /home/babs/PycharmProjects/MusicLibrary/publisher_detail.py                   | Python           |        355 |         66 |        108 |        529 |
| /home/babs/PycharmProjects/MusicLibrary/publisher_merge_dialog.py             | Python           |         58 |         11 |         15 |         84 |
| /home/babs/PycharmProjects/MusicLibrary/publisher_tree.py                     | Python           |        161 |         25 |         43 |        229 |
| /home/babs/PycharmProjects/MusicLibrary/publisher_view.py                     | Python           |        157 |         24 |         42 |        223 |
| /home/babs/PycharmProjects/MusicLibrary/queue_dock.py                         | Python           |        231 |         41 |         61 |        333 |
| /home/babs/PycharmProjects/MusicLibrary/queue_utility.py                      | Python           |        137 |         37 |         38 |        212 |
| /home/babs/PycharmProjects/MusicLibrary/rating_widget.py                      | Python           |        123 |         13 |         32 |        168 |
| /home/babs/PycharmProjects/MusicLibrary/requirements.txt                      | pip requirements |         59 |          0 |          1 |         60 |
| /home/babs/PycharmProjects/MusicLibrary/role_detail_tab.py                    | Python           |        187 |         23 |         41 |        251 |
| /home/babs/PycharmProjects/MusicLibrary/role_edit_dialog.py                   | Python           |         59 |          2 |         13 |         74 |
| /home/babs/PycharmProjects/MusicLibrary/role_parent_dialog.py                 | Python           |         70 |         15 |         22 |        107 |
| /home/babs/PycharmProjects/MusicLibrary/role_view.py                          | Python           |        413 |         63 |        110 |        586 |
| /home/babs/PycharmProjects/MusicLibrary/run.py                                | Python           |        114 |         28 |         36 |        178 |
| /home/babs/PycharmProjects/MusicLibrary/splash_screen.py                      | Python           |        143 |         21 |         35 |        199 |
| /home/babs/PycharmProjects/MusicLibrary/startup_dialog.py                     | Python           |        137 |         17 |         39 |        193 |
| /home/babs/PycharmProjects/MusicLibrary/statistics_dialog.py                  | Python           |        483 |         61 |        123 |        667 |
| /home/babs/PycharmProjects/MusicLibrary/statistics_utility.py                 | Python           |        608 |         63 |         94 |        765 |
| /home/babs/PycharmProjects/MusicLibrary/status_utility.py                     | Python           |         57 |          7 |         19 |         83 |
| /home/babs/PycharmProjects/MusicLibrary/status_widget.py                      | Python           |         71 |         17 |         19 |        107 |
| /home/babs/PycharmProjects/MusicLibrary/sync_utility.py                       | Python           |        208 |         32 |         61 |        301 |
| /home/babs/PycharmProjects/MusicLibrary/sync_view.py                          | Python           |        265 |         35 |         71 |        371 |
| /home/babs/PycharmProjects/MusicLibrary/track_columns.py                      | Python           |        133 |         22 |         34 |        189 |
| /home/babs/PycharmProjects/MusicLibrary/track_edit.py                         | Python           |        540 |         73 |        124 |        737 |
| /home/babs/PycharmProjects/MusicLibrary/track_editing_loaders.py              | Python           |        520 |         59 |        104 |        683 |
| /home/babs/PycharmProjects/MusicLibrary/track_editing_multiple.py             | Python           |        364 |         49 |         83 |        496 |
| /home/babs/PycharmProjects/MusicLibrary/track_editing_searchers.py            | Python           |        738 |         69 |        108 |        915 |
| /home/babs/PycharmProjects/MusicLibrary/track_view.py                         | Python           |        662 |        124 |        160 |        946 |
| /home/babs/PycharmProjects/MusicLibrary/wikipedia_image_dialog.py             | Python           |         99 |         10 |         23 |        132 |
| /home/babs/PycharmProjects/MusicLibrary/wikipedia_seach.py                    | Python           |        260 |         48 |         67 |        375 |
| Total                                                                         |                  |     34,792 |      5,645 |      8,159 |     48,596 |
+-------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
