"filename", "language", "Properties", "XML", "Python", "C++", "Markdown", "Makefile", "JSON", "CMake", "C", "JavaScript", "GLSL", "reStructuredText", "PostCSS", "HTML", "Shell Script", "CUDA C++", "Batch", "Ini", "PowerShell", "Jinja", "Log", "comment", "blank", "total"
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/macro.py", "Python", 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -11, -54
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magic.py", "Python", 0, 0, -331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -331, -96, -758
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magic_arguments.py", "Python", 0, 0, -175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -71, -65, -311
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magics/__init__.py", "Python", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -5, -43
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magics/auto.py", "Python", 0, 0, -56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -74, -15, -145
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magics/basic.py", "Python", 0, 0, -364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -224, -76, -664
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magics/code.py", "Python", 0, 0, -438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -242, -76, -756
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magics/config.py", "Python", 0, 0, -49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, -13, -141
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magics/display.py", "Python", 0, 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -45, -13, -94
"/home/babs/PycharmProjects/MusicLibrary/.venv/lib/python3.12/site-packages/IPython/core/magics/execution.py", "Python", 0, 0, -703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -703, -117, -1523
